Source	Target	Weight	Date	Class
situngbukanhasilakhir	pemilu2019manual	1	2019-05-06	Other 1
tolakhtidiindonesia	indonesiahebat	1	2018-11-09	Other 1
tolakhtidiindonesia	indonesiamaju	1	2018-11-09	Other 1
tolakhtidiindonesia	happytime	1	2018-11-09	Other 1
tolakhtidiindonesia	2019pilihjokowi	1	2018-11-09	Other 1
tolakhtidiindonesia	jokowilagi	1	2018-11-09	Other 1
indonesiahebat	indonesiamaju	1	2018-11-09	Other 1
indonesiahebat	happytime	1	2018-11-09	Other 1
indonesiahebat	2019pilihjokowi	1	2018-11-09	Other 1
indonesiahebat	jokowilagi	1	2018-11-09	Other 1
indonesiamaju	happytime	1	2018-11-09	Other 1
indonesiamaju	2019pilihjokowi	1	2018-11-09	Other 1
indonesiamaju	jokowilagi	1	2018-11-09	Other 1
indonesiamaju	indonesiaoptimis	1	2019-04-04	Other 1
indonesiamaju	bersatuindonesia	1	2019-04-04	Other 1
indonesiamaju	jokowisekalilagi	1	2019-04-04	Other 1
happytime	2019pilihjokowi	1	2018-11-09	Other 1
happytime	jokowilagi	1	2018-11-09	Other 1
2019pilihjokowi	jokowilagi	1	2018-11-09	Other 1
2019pilihjokowi	mahasiswa	1	2018-11-21	True News
2019pilihjokowi	mahasiswijogja	1	2018-11-21	True News
2019pilihjokowi	indonesiabangga	1	2018-11-21	True News
2019pilihjokowi	indonesia	1	2018-11-21	True News
jokowilagi	jokowiorangbaik	1	2019-01-19	Other 1
jokowilagi	urangsundamenangkan01	1	2019-01-19	Other 1
jokowilagi	jokowimembangunindonesia	1	2018-12-29	False News
koalisisontoloyo	prabowobersamahti	1	2018-10-27	Other 1
koalisisontoloyo	jokmilenial2019	1	2018-10-27	Other 1
prabowobersamahti	jokmilenial2019	1	2018-10-27	Other 1
prabowobersamahti	jokowibersamacucu	2	2018-10-26	False News
prabowobersamahti	sbybersamaferdinand	2	2018-10-26	False News
prabowobersamahti	tetapnkritetappansilac	1	2018-10-26	Misleading News
mahasiswa	mahasiswijogja	1	2018-11-21	True News
mahasiswa	indonesiabangga	1	2018-11-21	True News
mahasiswa	indonesia	1	2018-11-21	True News
mahasiswijogja	indonesiabangga	1	2018-11-21	True News
mahasiswijogja	indonesia	1	2018-11-21	True News
indonesiabangga	indonesia	1	2018-11-21	True News
kbrprime	pilpres2019	1	2019-02-08	False News
pilpres2019	debatcapres2019	1	2019-04-13	True News
pilpres2019	debatcapres2019	1	2019-03-30	True News
pilpres2019	cekdata	1	2019-04-13	True News
pilpres2019	pemilu2019	4	2019-04-15	True News
pilpres2019	pemilu2019	1	2019-04-15	Other 1
pilpres2019	pemilu2019	1	2019-05-21	Other 2
pilpres2019	pemilu2019	1	2019-05-14	Misleading News
pilpres2019	kpu	1	2019-04-15	True News
pilpres2019	akuseruji	2	2019-04-13	True News
pilpres2019	debatcapres	1	2019-04-13	True News
pilpres2019	debatcapres	1	2019-03-30	True News
pilpres2019	destinasiwisatahalalterbaikdunia	1	2019-04-13	True News
pilpres2019	viral	1	2019-01-26	True News
pilpres2019	prabowo	1	2019-01-26	True News
pilpres2019	sandiaga	1	2019-01-26	True News
pilpres2019	jawapos	2	2019-02-17	False News
pilpres2019	debatpilpresliputan6	1	2019-03-30	True News
pilpres2019	jokowipelanggarham	1	2019-05-24	True News
pilpres2019	mobiltnidiacaraprabowosandi	1	2019-03-22	True News
pilpres2019	tni	1	2019-04-04	False News
pilpres2019	rakyatbergerak	1	2019-05-27	Other 1
pilpres2019	aminraisbapakreformasi	1	2019-05-27	Other 1
pilpres2019	rakyattolakhasilpilpres	1	2019-05-21	Other 2
pilpres2019	98jagademokrasi	1	2019-05-21	Other 2
pilpres2019	suratsuara	1	2019-04-05	True News
pilpres2019	kpps	1	2019-04-05	True News
pilpres2019	opinivideo	1	2019-04-05	True News
pilpres2019	suratsuaratercoblos	1	2019-04-17	True News
2019prabowopresiden	prabowo	1	2019-02-05	False News
2019prabowopresiden	prabowo	1	2018-12-31	Other 2
2019prabowopresiden	powerofemakemak	1	2018-11-30	Other 1
2019prabowopresiden	bapakhoaxnasional	1	2018-10-06	Other 1
2019prabowopresiden	galangperjuanganps	1	2018-11-27	True News
2019prabowopresiden	bni8495002001000002	1	2018-11-27	True News
2019prabowopresiden	pilihpas2019	2	2018-11-18	Misleading News
2019prabowopresiden	2019tetapantipki	1	2018-11-30	False News
2019prabowopresiden	2019diatakutdiganti	1	2018-11-30	False News
prabowo	pidatokebangsaanprabowo	1	2019-01-16	False News
prabowo	pemilu2019	1	2019-01-16	False News
prabowo	17aprilcoblosnomor2	1	2019-01-16	False News
prabowo	17aprilcoblosprabowosandi	1	2019-01-16	False News
prabowo	rakyatinginkanperubahan	1	2019-01-16	False News
prabowo	indonesiamenang	1	2019-01-16	False News
prabowo	viral	1	2019-01-26	True News
prabowo	sandiaga	1	2019-01-26	True News
prabowo	hoaxsaber	1	2019-03-15	False News
prabowo	opinivideo	1	2019-03-15	False News
prabowo	tahunbarupresidenbaru	1	2018-12-31	Other 2
factcheck	metrosiang	1	2019-05-23	True News
sambhar	tofababitukanghoax	1	2019-03-10	Other 2
pkivspancasila	tanpakecuranganprabowomenang	1	2019-04-07	False News
pkivspancasila	demokrasidengkirezimsontoloyo	1	2019-04-04	False News
pkivspancasila	akalbulusvsakalsehat	1	2019-04-04	False News
auditforensikkpu	saveourdemocracy	1	2019-04-24	False News
auditforensikkpu	saveourdemocracy	1	2019-04-24	True News
auditforensikkpu	pemilu2019	1	2019-04-24	True News
auditforensikkpu	bentuktpfkecuranganpilpres	1	2019-04-24	True News
auditforensikkpu	dokumenkanc1dikecamatan	1	2019-04-24	True News
auditforensikkpu	bpnkawalsuarakami	1	2019-04-24	True News
auditforensikkpu	maumenangkokmaincurang	1	2019-04-24	True News
saveourdemocracy	pemilu2019	1	2019-04-20	Other 2
